gu_name,aed_by_gu,주간인구
강남구,544,"961,600"
강동구,342,"376,133"
강북구,327,"243,647"
강서구,361,"538,753"
관악구,304,"384,244"
광진구,244,"301,045"
구로구,292,"405,702"
금천구,193,"288,203"
노원구,483,"434,895"
도봉구,303,"251,902"
동대문구,293,"349,222"
동작구,245,"334,439"
마포구,287,"428,016"
서대문구,215,"320,414"
서초구,501,"553,702"
성동구,265,"317,795"
성북구,418,"398,474"
송파구,427,"634,489"
양천구,275,"354,082"
영등포구,381,"514,216"
용산구,244,"265,108"
은평구,193,"353,063"
종로구,309,"345,797"
중구,356,"380,224"
중랑구,247,"309,648"
