gu_name,aed_by_gu,거주인구
강남구,544,"499,028"
강동구,342,"436,710"
강북구,327,"293,755"
강서구,361,"555,402"
관악구,304,"479,969"
광진구,244,"334,190"
구로구,292,"392,040"
금천구,193,"224,123"
노원구,483,"504,411"
도봉구,303,"311,839"
동대문구,293,"331,973"
동작구,245,"377,366"
마포구,287,"354,420"
서대문구,215,"304,192"
서초구,501,"394,955"
성동구,265,"282,193"
성북구,418,"425,639"
송파구,427,"631,722"
양천구,275,"431,427"
영등포구,381,"360,059"
용산구,244,"212,043"
은평구,193,"456,474"
종로구,309,"141,316"
중구,356,"118,450"
중랑구,247,"377,150"
