우편번호,설치기관주소,실제위치,설치기관명,경도,위도,GU_ID,GU_NAME,,,,,
1424,서울특별시 도봉구 덕릉로 329,사무실,창동종합사회복지관,127.0455094,37.64483768,10,도봉구,,,,,
1233,"서울특별시 강북구 오패산로 162, 송중동 주민센터 (미아동)",주민센터 입구,송중동주민센터,127.0337803,37.61612179,9,강북구,,,,,
1145,"서울특별시 강북구 한천로 897, 번2동주민센터 (번동)",주민센터 입구,번2동주민센터,127.0390622,37.6318813,9,강북구,,,,,
1103,"서울특별시 강북구 삼양로 299, 수유1동 주민센터 (수유동)",주민센터 입구,수유1동주민센터,127.0175594,37.6300516,9,강북구,,,,,
1191,"서울특별시 강북구 솔샘로 159 벽산라이브파크아파트 제2관리사무소 (미아동, 벽산라이브파크)",202동 경비실앞,벽산라이브파크아파트(제2관리사무소),127.0124075,37.62182327,9,강북구,,,,,
1323,서울특별시 도봉구 마들로 770,관리사무소,도봉서광아파트,127.0495261,37.67719571,10,도봉구,,,,,
7205,서울특별시 영등포구 양평로 지하 124 9호선 선유도역,지하2층 발매기옆,9호선 선유도역,126.8934205,37.53813152,19,영등포구,,,,,
7214,서울특별시 영등포구 양평로 지하 40 9호선 당산역,8번출구 역무실 옆,9호선당산역,126.9021696,37.53373879,19,영등포구,,,,,
7236,서울특별시 영등포구 국회대로 지하 758 9호선 국회의사당역,대합실 게이트 주변,9호선 국회의사당역,126.9178855,37.52806743,19,영등포구,,,,,
7327,서울특별시 영등포구 의사당대로 지하 101 9호선 여의도역,9호선 개찰구 입구,9호선 여의도역,126.9239689,37.52190694,19,영등포구,,,,,
7324,서울특별시 영등포구 의사당대로 지하 166 9호선 샛강역,지하2층 개찰구 내부,9호선샛강역,126.9284192,37.5173965,19,영등포구,,,,,
6111,"서울특별시 강남구 강남대로128길 59, 논현노인종합복지관 (논현동)",2층 복도 벽면,논현노인종합복지관,127.026089,37.51206542,23,강남구,,,,,
8095,"서울특별시 양천구 목동서로 339, 양천보건소 (신정동)",1층 안내데스크 옆,양천구보건소,126.8655609,37.51749427,15,양천구,,,,,
7921,서울특별시 양천구 남부순환로 407 (신월동),신월지역보건센터 1층,신월보건지소,126.8318233,37.53133706,15,양천구,,,,,
6164,서울특별시 강남구 테헤란로87길 22 (삼성동),터미널 2층,한국도심공항공사,127.0594434,37.50963226,23,강남구,,,,,
6164,"서울특별시 강남구 테헤란로 517, 현대백화점 (삼성동)",B1층 푸드코트 계산대 옆,현대백화점 무역센타점,127.0597651,37.50861513,23,강남구,,,,,
6008,"서울특별시 강남구 압구정로 343, 갤러리아백화점 (압구정동)",주차장옆보안관실,㈜갤러리아 명품관(서관),127.0400535,37.52847463,23,강남구,,,,,
6009,"서울특별시 강남구 압구정로 407, 갤러리아백화점 (압구정동)",1층 안내데스크옆,㈜갤러리아 명품관(동관),127.0418316,37.527919,23,강남구,,,,,
6228,"서울특별시 강남구 논현로64길 7, 역삼청소년수련관 (역삼동)",1층 로비 벽면,역삼청소년수련관,127.040912,37.49397443,23,강남구,,,,,
6228,"서울특별시 강남구 논현로64길 7, 역삼청소년수련관 (역삼동)",지하2층 헬스장 앞,역삼청소년수련관,127.040912,37.49397443,23,강남구,,,,,
